epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2442.51,1.35069,1.33465,1.52133,0.61794,0.68576,0.70949,0.36883,1.57839,1.38043,1.81957,0.009208,0.009208,0.009208
82,2471.03,1.35816,1.35059,1.53043,0.65429,0.64038,0.7153,0.36643,1.60009,1.32684,1.78078,0.0091981,0.0091981,0.0091981
83,2500.18,1.3579,1.31016,1.5164,0.64221,0.57009,0.65353,0.32696,1.68054,1.49987,1.86978,0.0091882,0.0091882,0.0091882
84,2529.44,1.34207,1.31064,1.50917,0.64521,0.67416,0.7261,0.37465,1.56616,1.31317,1.7645,0.0091783,0.0091783,0.0091783
85,2558.58,1.32821,1.31037,1.49424,0.65156,0.68966,0.73444,0.38281,1.54728,1.29357,1.74395,0.0091684,0.0091684,0.0091684
86,2587.54,1.34546,1.30748,1.51426,0.46268,0.45883,0.45458,0.21598,2.10826,2.27159,2.30065,0.0091585,0.0091585,0.0091585
87,2619.37,1.34152,1.31957,1.52152,0.68286,0.66345,0.72926,0.39047,1.53971,1.29361,1.74347,0.0091486,0.0091486,0.0091486
88,2648.92,1.34492,1.29775,1.49929,0.69772,0.65447,0.72823,0.38026,1.57087,1.32596,1.77956,0.0091387,0.0091387,0.0091387
89,2678.83,1.32028,1.27543,1.49133,0.67152,0.66957,0.72232,0.37988,1.56154,1.26016,1.7723,0.0091288,0.0091288,0.0091288
90,2707.61,1.34012,1.28155,1.5024,0.58469,0.50841,0.54535,0.2527,1.95835,1.86697,2.15039,0.0091189,0.0091189,0.0091189
91,2737.01,1.31453,1.27719,1.4896,0.64593,0.67908,0.72167,0.38792,1.55845,1.28531,1.7658,0.009109,0.009109,0.009109
92,2766.27,1.33733,1.27587,1.49921,0.68449,0.6247,0.70472,0.35346,1.6577,1.34078,1.80776,0.0090991,0.0090991,0.0090991
93,2795.7,1.32495,1.2914,1.49311,0.69224,0.6372,0.7267,0.38768,1.52927,1.28618,1.74399,0.0090892,0.0090892,0.0090892
94,2825.29,1.32985,1.30814,1.51422,0.66394,0.63071,0.70827,0.37746,1.55881,1.3318,1.77057,0.0090793,0.0090793,0.0090793
95,2857.37,1.32684,1.27706,1.48971,0.61584,0.64075,0.69239,0.36269,1.58832,1.40155,1.79584,0.0090694,0.0090694,0.0090694
96,2886.87,1.30654,1.27532,1.49563,0.71233,0.64616,0.72755,0.3858,1.55293,1.2901,1.75399,0.0090595,0.0090595,0.0090595
97,2917.35,1.31952,1.27641,1.49522,0.65378,0.68495,0.73007,0.38925,1.54425,1.28044,1.76031,0.0090496,0.0090496,0.0090496
98,2947.9,1.3296,1.26304,1.50507,0.70044,0.63889,0.72057,0.3555,1.64284,1.35925,1.79431,0.0090397,0.0090397,0.0090397
99,2976.93,1.34149,1.29728,1.50429,0.62213,0.66079,0.70841,0.35723,1.61329,1.36509,1.78547,0.0090298,0.0090298,0.0090298
100,3005.72,1.32538,1.27986,1.49611,0.66103,0.60437,0.69583,0.36385,1.59493,1.35759,1.79926,0.0090199,0.0090199,0.0090199
101,3034.6,1.3117,1.27687,1.48716,0.68319,0.63222,0.72224,0.37205,1.56785,1.34178,1.74863,0.00901,0.00901,0.00901
102,3063.59,1.31504,1.25532,1.49309,0.66153,0.607,0.67213,0.32678,1.71401,1.48131,1.89835,0.0090001,0.0090001,0.0090001
103,3095.33,1.32094,1.25825,1.47988,0.62985,0.67475,0.71501,0.3688,1.59802,1.32455,1.78387,0.0089902,0.0089902,0.0089902
104,3125.04,1.32219,1.26612,1.48855,0.71037,0.63606,0.74635,0.3911,1.57156,1.28137,1.75894,0.0089803,0.0089803,0.0089803
105,3154.33,1.31842,1.24261,1.48581,0.66978,0.64948,0.71192,0.36307,1.60989,1.33096,1.80195,0.0089704,0.0089704,0.0089704
106,3183.44,1.30721,1.25277,1.47553,0.66288,0.68851,0.73637,0.3852,1.55599,1.26336,1.75882,0.0089605,0.0089605,0.0089605
107,3212.72,1.32623,1.28627,1.48728,0.69729,0.63695,0.7118,0.37291,1.60032,1.3136,1.8116,0.0089506,0.0089506,0.0089506
108,3242,1.29636,1.23734,1.47226,0.60577,0.60308,0.64575,0.30868,1.72447,1.47999,1.90665,0.0089407,0.0089407,0.0089407
